book,category_path,filename,ext,usage,size_bytes,size_mb,width,height,orientation,size_bucket,suggested_role,subject_hits,relative_path,status,art_tag,notes
5 Parsecs Core Rulebook,Art/png/Characters,Skulker.png,png,ingame,797878,0.76,2856,2410,landscape,scene_landscape,portrait,species:skulker,5 Parsecs Core Rulebook/Art/png/Characters/Skulker.png,untriaged,,
5 Parsecs Core Rulebook,Art/png/Characters,Soulless.png,png,ingame,4788321,4.57,1885,2350,portrait,misc,portrait,species:soulless,5 Parsecs Core Rulebook/Art/png/Characters/Soulless.png,untriaged,,
5 Parsecs Core Rulebook,Art/png/Characters,Swift 2.png,png,ingame,4738742,4.52,1886,2495,portrait,fullpage,portrait,species:swift,5 Parsecs Core Rulebook/Art/png/Characters/Swift 2.png,untriaged,,
5 Parsecs Core Rulebook,Art/png/Characters,Swift.png,png,ingame,1770991,1.69,1886,2495,portrait,fullpage,portrait,species:swift,5 Parsecs Core Rulebook/Art/png/Characters/Swift.png,untriaged,,
5 Parsecs Core Rulebook,Art/png/Concepts and Weapons,Dec_11_Battle_Droids_concepts_.png,png,ingame,3204217,3.06,7656,2043,landscape,scene_landscape,equipment_icon,concept_sheet,5 Parsecs Core Rulebook/Art/png/Concepts and Weapons/Dec_11_Battle_Droids_concepts_.png,untriaged,,
5 Parsecs Core Rulebook,Art/png/Concepts and Weapons,Dec_12_CoprSec_concepts_.png,png,ingame,1593802,1.52,3806,2043,landscape,scene_landscape,equipment_icon,concept_sheet,5 Parsecs Core Rulebook/Art/png/Concepts and Weapons/Dec_12_CoprSec_concepts_.png,untriaged,,
5 Parsecs Core Rulebook,Art/png/Concepts and Weapons,Dec_13_Cultists_concepts_.png,png,ingame,1392597,1.33,3806,2043,landscape,scene_landscape,equipment_icon,concept_sheet,5 Parsecs Core Rulebook/Art/png/Concepts and Weapons/Dec_13_Cultists_concepts_.png,untriaged,,
5 Parsecs Core Rulebook,Art/png/Concepts and Weapons,Dec_14_Agents_concepts_.png,png,ingame,1067930,1.02,3806,2043,landscape,scene_landscape,equipment_icon,concept_sheet,5 Parsecs Core Rulebook/Art/png/Concepts and Weapons/Dec_14_Agents_concepts_.png,untriaged,,
5 Parsecs Core Rulebook,Art/png/Concepts and Weapons,Dec_15_Creatures_concepts_.png,png,ingame,1256955,1.2,3806,2043,landscape,scene_landscape,equipment_icon,concept_sheet,5 Parsecs Core Rulebook/Art/png/Concepts and Weapons/Dec_15_Creatures_concepts_.png,untriaged,,
5 Parsecs Core Rulebook,Art/png/Concepts and Weapons,Dec_16_Swamp_Creatures_concepts_.png,png,ingame,1704979,1.63,3806,2043,landscape,scene_landscape,equipment_icon,concept_sheet,5 Parsecs Core Rulebook/Art/png/Concepts and Weapons/Dec_16_Swamp_Creatures_concepts_.png,untriaged,,
5 Parsecs Core Rulebook,Art/png/Concepts and Weapons,Dec_17_Infantry_laser_weapon_concepts_.png,png,ingame,1167661,1.11,3806,2043,landscape,scene_landscape,equipment_icon,concept_sheet,5 Parsecs Core Rulebook/Art/png/Concepts and Weapons/Dec_17_Infantry_laser_weapon_concepts_.png,untriaged,,
5 Parsecs Core Rulebook,Art/png/Concepts and Weapons,Dec_17_Infantry_laser_weapon_concepts__1.png,png,ingame,1167661,1.11,3806,2043,landscape,scene_landscape,equipment_icon,concept_sheet,5 Parsecs Core Rulebook/Art/png/Concepts and Weapons/Dec_17_Infantry_laser_weapon_concepts__1.png,untriaged,,
5 Parsecs Core Rulebook,Art/png/Concepts and Weapons,Dec_18_Pistol_weapon_concepts_.png,png,ingame,945175,0.9,3806,1839,landscape,scene_landscape,equipment_icon,concept_sheet,5 Parsecs Core Rulebook/Art/png/Concepts and Weapons/Dec_18_Pistol_weapon_concepts_.png,untriaged,,
5 Parsecs Core Rulebook,Art/png/Concepts and Weapons,Dec_21_Five_Parsecs_weapon_conceptsheet_.png,png,ingame,3287837,3.14,9529,2043,landscape,scene_landscape,equipment_icon,concept_sheet,5 Parsecs Core Rulebook/Art/png/Concepts and Weapons/Dec_21_Five_Parsecs_weapon_conceptsheet_.png,untriaged,,
5 Parsecs Core Rulebook,Art/png/Concepts and Weapons,Dec_21_Five_Parsecs_weapon_conceptsheet__1.png,png,ingame,3287837,3.14,9529,2043,landscape,scene_landscape,equipment_icon,concept_sheet,5 Parsecs Core Rulebook/Art/png/Concepts and Weapons/Dec_21_Five_Parsecs_weapon_conceptsheet__1.png,untriaged,,
5 Parsecs Core Rulebook,Art/png/Concepts and Weapons,Dec_21_Hand_Flame_pistol_concepts_.png,png,ingame,923526,0.88,3806,1839,landscape,scene_landscape,equipment_icon,concept_sheet,5 Parsecs Core Rulebook/Art/png/Concepts and Weapons/Dec_21_Hand_Flame_pistol_concepts_.png,untriaged,,
5 Parsecs Core Rulebook,Art/png/Concepts and Weapons,Dec_21_Hand_Flame_pistol_concepts__1.png,png,ingame,924095,0.88,3806,1839,landscape,scene_landscape,equipment_icon,concept_sheet,5 Parsecs Core Rulebook/Art/png/Concepts and Weapons/Dec_21_Hand_Flame_pistol_concepts__1.png,untriaged,,
5 Parsecs Core Rulebook,Art/png/Concepts and Weapons,Dec_21_Hand_Flame_pistol_concepts__2.png,png,ingame,923526,0.88,3806,1839,landscape,scene_landscape,equipment_icon,concept_sheet,5 Parsecs Core Rulebook/Art/png/Concepts and Weapons/Dec_21_Hand_Flame_pistol_concepts__2.png,untriaged,,
5 Parsecs Core Rulebook,Art/png/Concepts and Weapons,Dec_6_Ship_Concepts_.png,png,ingame,1421147,1.36,6000,2043,landscape,scene_landscape,equipment_icon,concept_sheet,5 Parsecs Core Rulebook/Art/png/Concepts and Weapons/Dec_6_Ship_Concepts_.png,untriaged,,
5 Parsecs Core Rulebook,Art/png/Concepts and Weapons,Dec_7_Character_concepts_.png,png,ingame,3035745,2.9,7612,2043,landscape,scene_landscape,equipment_icon,concept_sheet,5 Parsecs Core Rulebook/Art/png/Concepts and Weapons/Dec_7_Character_concepts_.png,untriaged,,
5 Parsecs Core Rulebook,Art/png/Concepts and Weapons,Dec_9_Bad_guys_character_concepts_.png,png,ingame,1938080,1.85,7612,2043,landscape,scene_landscape,equipment_icon,concept_sheet,5 Parsecs Core Rulebook/Art/png/Concepts and Weapons/Dec_9_Bad_guys_character_concepts_.png,untriaged,,
5 Parsecs Core Rulebook,Art/png/Concepts and Weapons,Five Parsecs weapon concepts.png,png,ingame,2276761,2.17,8965,2070,landscape,scene_landscape,equipment_icon,concept_sheet,5 Parsecs Core Rulebook/Art/png/Concepts and Weapons/Five Parsecs weapon concepts.png,untriaged,,
5 Parsecs Core Rulebook,Art/png/Concepts and Weapons,Tein Stingers .png,png,ingame,509345,0.49,1528,968,landscape,misc,equipment_icon,,5 Parsecs Core Rulebook/Art/png/Concepts and Weapons/Tein Stingers .png,untriaged,,
5 Parsecs Core Rulebook,Art/png/Concepts and Weapons,Twin Hornets green.png,png,ingame,446089,0.43,1528,968,landscape,misc,equipment_icon,,5 Parsecs Core Rulebook/Art/png/Concepts and Weapons/Twin Hornets green.png,untriaged,,
5 Parsecs Core Rulebook,Art/png/Concepts and Weapons,Twin Hornets.png,png,ingame,467563,0.45,1528,968,landscape,misc,equipment_icon,,5 Parsecs Core Rulebook/Art/png/Concepts and Weapons/Twin Hornets.png,untriaged,,
5 Parsecs Core Rulebook,Art/png/Concepts and Weapons,Weapon_FlameThrower.png,png,ingame,913353,0.87,3150,2070,landscape,scene_landscape,equipment_icon,,5 Parsecs Core Rulebook/Art/png/Concepts and Weapons/Weapon_FlameThrower.png,untriaged,,
5 Parsecs Core Rulebook,Art/png/Concepts and Weapons,Weapon_Raptor.png,png,ingame,673842,0.64,3150,2070,landscape,scene_landscape,equipment_icon,,5 Parsecs Core Rulebook/Art/png/Concepts and Weapons/Weapon_Raptor.png,untriaged,,
5 Parsecs Core Rulebook,Art/png/Concepts and Weapons,Weapon_Summoner.png,png,ingame,771824,0.74,3150,2070,landscape,scene_landscape,equipment_icon,,5 Parsecs Core Rulebook/Art/png/Concepts and Weapons/Weapon_Summoner.png,untriaged,,
5 Parsecs Core Rulebook,Art/png/Concepts and Weapons,Weapon__HarriganStub.png,png,ingame,541067,0.52,3150,2070,landscape,scene_landscape,equipment_icon,,5 Parsecs Core Rulebook/Art/png/Concepts and Weapons/Weapon__HarriganStub.png,untriaged,,
5 Parsecs Core Rulebook,Art/png/Concepts and Weapons,Weapon__OmegaPeacemaker.png,png,ingame,832652,0.79,3150,2070,landscape,scene_landscape,equipment_icon,,5 Parsecs Core Rulebook/Art/png/Concepts and Weapons/Weapon__OmegaPeacemaker.png,untriaged,,
5 Parsecs Core Rulebook,Art/png/Cover Text,5PFH_Title_Red.png,png,ingame,393342,0.38,1843,695,landscape,misc,marketing_ignore,,5 Parsecs Core Rulebook/Art/png/Cover Text/5PFH_Title_Red.png,untriaged,,
5 Parsecs Core Rulebook,Art/png/Cover Text,5PH_Bug Hunt_Cover_001w.png,png,ingame,687482,0.66,4229,3307,landscape,scene_landscape,marketing_ignore,cover_art,5 Parsecs Core Rulebook/Art/png/Cover Text/5PH_Bug Hunt_Cover_001w.png,untriaged,,
5 Parsecs Core Rulebook,Art/png/Cover Text,5PH_Planetfall_Cover_001w.png,png,ingame,571322,0.54,4229,3307,landscape,scene_landscape,marketing_ignore,cover_art,5 Parsecs Core Rulebook/Art/png/Cover Text/5PH_Planetfall_Cover_001w.png,untriaged,,
5 Parsecs Core Rulebook,Art/png/Cover Text,5PH_Tactics_Cover_001w.png,png,ingame,567220,0.54,4229,3307,landscape,scene_landscape,marketing_ignore,cover_art,5 Parsecs Core Rulebook/Art/png/Cover Text/5PH_Tactics_Cover_001w.png,untriaged,,
5 Parsecs Core Rulebook,Art/png/Cover Text,5PH_Tactics_X1_Cover_001w.png,png,ingame,617837,0.59,4229,3307,landscape,scene_landscape,marketing_ignore,cover_art,5 Parsecs Core Rulebook/Art/png/Cover Text/5PH_Tactics_X1_Cover_001w.png,untriaged,,
5 Parsecs Core Rulebook,Art/png/General Art,1 REV.png,png,ingame,22341684,21.31,6000,3231,landscape,scene_landscape,scene,anonymous_page_export,5 Parsecs Core Rulebook/Art/png/General Art/1 REV.png,untriaged,,
5 Parsecs Core Rulebook,Art/png/General Art,1.png,png,ingame,36049353,34.38,6000,3500,landscape,scene_landscape,scene,anonymous_page_export,5 Parsecs Core Rulebook/Art/png/General Art/1.png,untriaged,,
5 Parsecs Core Rulebook,Art/png/General Art,10 REV.png,png,ingame,31543381,30.08,6000,3375,landscape,scene_landscape,scene,anonymous_page_export,5 Parsecs Core Rulebook/Art/png/General Art/10 REV.png,untriaged,,
5 Parsecs Core Rulebook,Art/png/General Art,103.png,png,ingame,1490621,1.42,1470,2161,portrait,misc,scene,anonymous_page_export,5 Parsecs Core Rulebook/Art/png/General Art/103.png,untriaged,,
5 Parsecs Core Rulebook,Art/png/General Art,11 REV.png,png,ingame,28908150,27.57,6000,3375,landscape,scene_landscape,scene,anonymous_page_export,5 Parsecs Core Rulebook/Art/png/General Art/11 REV.png,untriaged,,
5 Parsecs Core Rulebook,Art/png/General Art,11.png,png,ingame,2224701,2.12,1470,2161,portrait,misc,scene,anonymous_page_export,5 Parsecs Core Rulebook/Art/png/General Art/11.png,untriaged,,
5 Parsecs Core Rulebook,Art/png/General Art,12.png,png,ingame,36982249,35.27,6000,3375,landscape,scene_landscape,scene,anonymous_page_export,5 Parsecs Core Rulebook/Art/png/General Art/12.png,untriaged,,
5 Parsecs Core Rulebook,Art/png/General Art,161.png,png,ingame,3722219,3.55,1470,2161,portrait,misc,scene,anonymous_page_export,5 Parsecs Core Rulebook/Art/png/General Art/161.png,untriaged,,
5 Parsecs Core Rulebook,Art/png/General Art,2 (1).png,png,ingame,29325456,27.97,6000,3500,landscape,scene_landscape,scene,,5 Parsecs Core Rulebook/Art/png/General Art/2 (1).png,untriaged,,
5 Parsecs Core Rulebook,Art/png/General Art,2 REV.png,png,ingame,27366482,26.1,6000,3500,landscape,scene_landscape,scene,anonymous_page_export,5 Parsecs Core Rulebook/Art/png/General Art/2 REV.png,untriaged,,
5 Parsecs Core Rulebook,Art/png/General Art,2918.png,png,ingame,1877273,1.79,1470,2161,portrait,misc,scene,anonymous_page_export,5 Parsecs Core Rulebook/Art/png/General Art/2918.png,untriaged,,
5 Parsecs Core Rulebook,Art/png/General Art,2Engineers.png,png,ingame,6866151,6.55,6000,3375,landscape,scene_landscape,scene,species:engineer,5 Parsecs Core Rulebook/Art/png/General Art/2Engineers.png,untriaged,,
5 Parsecs Core Rulebook,Art/png/General Art,3 REV NEW 2.png,png,ingame,32033603,30.55,6000,3375,landscape,scene_landscape,scene,revision,5 Parsecs Core Rulebook/Art/png/General Art/3 REV NEW 2.png,untriaged,,
5 Parsecs Core Rulebook,Art/png/General Art,3.png,png,ingame,36258626,34.58,6000,3500,landscape,scene_landscape,scene,anonymous_page_export,5 Parsecs Core Rulebook/Art/png/General Art/3.png,untriaged,,
5 Parsecs Core Rulebook,Art/png/General Art,4 REV NEW 2.png,png,ingame,23963342,22.85,6000,3375,landscape,scene_landscape,scene,revision,5 Parsecs Core Rulebook/Art/png/General Art/4 REV NEW 2.png,untriaged,,
5 Parsecs Core Rulebook,Art/png/General Art,4.png,png,ingame,38212671,36.44,6000,3500,landscape,scene_landscape,scene,anonymous_page_export,5 Parsecs Core Rulebook/Art/png/General Art/4.png,untriaged,,
5 Parsecs Core Rulebook,Art/png/General Art,5 RENEW 2.png,png,ingame,36648905,34.95,6000,3375,landscape,scene_landscape,scene,,5 Parsecs Core Rulebook/Art/png/General Art/5 RENEW 2.png,untriaged,,
5 Parsecs Core Rulebook,Art/png/General Art,5.png,png,ingame,36283650,34.6,6000,3375,landscape,scene_landscape,scene,anonymous_page_export,5 Parsecs Core Rulebook/Art/png/General Art/5.png,untriaged,,
5 Parsecs Core Rulebook,Art/png/General Art,6 Rev NEW.png,png,ingame,29912638,28.53,6000,3429,landscape,scene_landscape,scene,revision,5 Parsecs Core Rulebook/Art/png/General Art/6 Rev NEW.png,untriaged,,
5 Parsecs Core Rulebook,Art/png/General Art,6.png,png,ingame,38202174,36.43,6000,3500,landscape,scene_landscape,scene,anonymous_page_export,5 Parsecs Core Rulebook/Art/png/General Art/6.png,untriaged,,
5 Parsecs Core Rulebook,Art/png/General Art,7 REV.png,png,ingame,14952496,14.26,6000,3375,landscape,scene_landscape,scene,anonymous_page_export,5 Parsecs Core Rulebook/Art/png/General Art/7 REV.png,untriaged,,
5 Parsecs Core Rulebook,Art/png/General Art,7.png,png,ingame,37363377,35.63,6000,3500,landscape,scene_landscape,scene,anonymous_page_export,5 Parsecs Core Rulebook/Art/png/General Art/7.png,untriaged,,
5 Parsecs Core Rulebook,Art/png/General Art,8a.png,png,ingame,37129810,35.41,6000,3500,landscape,scene_landscape,scene,,5 Parsecs Core Rulebook/Art/png/General Art/8a.png,untriaged,,
5 Parsecs Core Rulebook,Art/png/General Art,9.png,png,ingame,37584915,35.84,6000,3500,landscape,scene_landscape,scene,anonymous_page_export,5 Parsecs Core Rulebook/Art/png/General Art/9.png,untriaged,,
5 Parsecs Core Rulebook,Art/png/General Art,APC2_Concept_Freestyle.png,png,ingame,18469227,17.61,6000,3375,landscape,scene_landscape,scene,freestyle_action;concept_sheet,5 Parsecs Core Rulebook/Art/png/General Art/APC2_Concept_Freestyle.png,untriaged,,
5 Parsecs Core Rulebook,Art/png/General Art,Advancing_Mech_Concept.png,png,ingame,17420270,16.61,6000,3375,landscape,scene_landscape,scene,concept_sheet,5 Parsecs Core Rulebook/Art/png/General Art/Advancing_Mech_Concept.png,untriaged,,
5 Parsecs Core Rulebook,Art/png/General Art,After_Battle.png,png,ingame,36793717,35.09,6000,3375,landscape,scene_landscape,scene,,5 Parsecs Core Rulebook/Art/png/General Art/After_Battle.png,untriaged,,
5 Parsecs Core Rulebook,Art/png/General Art,After_battle_Concept.png,png,ingame,16618185,15.85,6000,3375,landscape,scene_landscape,scene,concept_sheet,5 Parsecs Core Rulebook/Art/png/General Art/After_battle_Concept.png,untriaged,,
5 Parsecs Core Rulebook,Art/png/General Art,Aftermath_Concept.png,png,ingame,5368170,5.12,6000,3375,landscape,scene_landscape,scene,concept_sheet,5 Parsecs Core Rulebook/Art/png/General Art/Aftermath_Concept.png,untriaged,,
5 Parsecs Core Rulebook,Art/png/General Art,AirStricke_Freestyle.png,png,ingame,38131330,36.36,6000,3375,landscape,scene_landscape,scene,freestyle_action,5 Parsecs Core Rulebook/Art/png/General Art/AirStricke_Freestyle.png,untriaged,,
5 Parsecs Core Rulebook,Art/png/General Art,Ambush.png,png,ingame,6047471,5.77,6000,3375,landscape,scene_landscape,scene,tag:battle_action,5 Parsecs Core Rulebook/Art/png/General Art/Ambush.png,untriaged,,
5 Parsecs Core Rulebook,Art/png/General Art,AttackFormation_Freestyle.png,png,ingame,37972786,36.21,6000,3375,landscape,scene_landscape,scene,tag:battle_action;freestyle_action,5 Parsecs Core Rulebook/Art/png/General Art/AttackFormation_Freestyle.png,untriaged,,
5 Parsecs Core Rulebook,Art/png/General Art,Breach.png,png,ingame,11961723,11.41,6000,4000,landscape,scene_landscape,scene,,5 Parsecs Core Rulebook/Art/png/General Art/Breach.png,untriaged,,
5 Parsecs Core Rulebook,Art/png/General Art,Breach_freestyle.png,png,ingame,18171760,17.33,6000,3375,landscape,scene_landscape,scene,freestyle_action,5 Parsecs Core Rulebook/Art/png/General Art/Breach_freestyle.png,untriaged,,
5 Parsecs Core Rulebook,Art/png/General Art,Broken Ship.png,png,ingame,5700816,5.44,6000,3375,landscape,scene_landscape,scene,,5 Parsecs Core Rulebook/Art/png/General Art/Broken Ship.png,untriaged,,
5 Parsecs Core Rulebook,Art/png/General Art,BugBot Attack Scene 12 F.png,png,ingame,20667024,19.71,6000,3375,landscape,scene_landscape,scene,species:bot;tag:battle_action;named_scene,5 Parsecs Core Rulebook/Art/png/General Art/BugBot Attack Scene 12 F.png,untriaged,,
5 Parsecs Core Rulebook,Art/png/General Art,BugBot Attack Scene 14 F.png,png,ingame,20096225,19.17,6000,3375,landscape,scene_landscape,scene,species:bot;tag:battle_action;named_scene,5 Parsecs Core Rulebook/Art/png/General Art/BugBot Attack Scene 14 F.png,untriaged,,
5 Parsecs Core Rulebook,Art/png/General Art,BugBots Soup A PDF.png,png,ingame,8105564,7.73,3000,1750,landscape,scene_landscape,scene,species:bot,5 Parsecs Core Rulebook/Art/png/General Art/BugBots Soup A PDF.png,untriaged,,
5 Parsecs Core Rulebook,Art/png/General Art,Burnout_Freestyle.png,png,ingame,17188932,16.39,6000,3375,landscape,scene_landscape,scene,freestyle_action,5 Parsecs Core Rulebook/Art/png/General Art/Burnout_Freestyle.png,untriaged,,
5 Parsecs Core Rulebook,Art/png/General Art,COVER ART FINAL 2.png,png,ingame,94008489,89.65,6000,8585,portrait,fullpage,scene,cover_art,5 Parsecs Core Rulebook/Art/png/General Art/COVER ART FINAL 2.png,untriaged,,
5 Parsecs Core Rulebook,Art/png/General Art,COVER ART FINAL REV2.png,png,ingame,5803250,5.53,6000,8765,portrait,fullpage,scene,revision;cover_art,5 Parsecs Core Rulebook/Art/png/General Art/COVER ART FINAL REV2.png,untriaged,,
5 Parsecs Core Rulebook,Art/png/General Art,COVER ART FINAL.png,png,ingame,79990169,76.28,6000,8585,portrait,fullpage,scene,cover_art,5 Parsecs Core Rulebook/Art/png/General Art/COVER ART FINAL.png,untriaged,,
5 Parsecs Core Rulebook,Art/png/General Art,COVER FINAL.png,png,ingame,21908296,20.89,6000,4375,landscape,scene_landscape,scene,cover_art,5 Parsecs Core Rulebook/Art/png/General Art/COVER FINAL.png,untriaged,,
5 Parsecs Core Rulebook,Art/png/General Art,Camp Building Up 1 Scene 4 F.png,png,ingame,24124447,23.01,6000,3375,landscape,scene_landscape,scene,tag:battle_action;named_scene,5 Parsecs Core Rulebook/Art/png/General Art/Camp Building Up 1 Scene 4 F.png,untriaged,,
